"Time","yolo-server-6b58946cb4-5922k / default / PKG","yolo-server-99847bd7d-pfn7h / default / PKG","yolo-server-6b58946cb4-5922k / default / DRAM","yolo-server-99847bd7d-pfn7h / default / DRAM","yolo-server-6b58946cb4-5922k / default / OTHER","yolo-server-99847bd7d-pfn7h / default / OTHER","yolo-server-6b58946cb4-5922k / default / GPU","yolo-server-99847bd7d-pfn7h / default / GPU"
2024-08-07 20:36:20,,0.191,,0,,0,,0
2024-08-07 20:36:30,,0.191,,0,,0,,0
2024-08-07 20:36:40,,0.121,,0,,0,,0
2024-08-07 20:36:50,,0.121,,0,,0,,0
2024-08-07 20:37:00,,0.121,,0,,0,,0
2024-08-07 20:37:10,,0.179,,0,,0,,0
2024-08-07 20:37:20,,0.179,,0,,0,,0
2024-08-07 20:37:30,,0.179,,0,,0,,0
2024-08-07 20:37:40,,0.143,,0,,0,,0
2024-08-07 20:37:50,,0.143,,0,,0,,0
2024-08-07 20:38:00,,0.143,,0,,0,,0
2024-08-07 20:38:10,,0.103,,0,,0,,0
2024-08-07 20:38:20,,0.103,,0,,0,,0
2024-08-07 20:38:30,,0.103,,0,,0,,0
2024-08-07 20:38:40,,0.165,,0,,0,,0
2024-08-07 20:38:50,,0.165,,0,,0,,0
2024-08-07 20:39:00,,0.165,,0,,0,,0
2024-08-07 20:39:10,,0.126,,0,,0,,0
2024-08-07 20:39:20,,0.126,,0,,0,,0
2024-08-07 20:39:30,,0.126,,0,,0,,0
2024-08-07 20:39:40,,0.0791,,0,,0,,0
2024-08-07 20:39:50,,0.0791,,0,,0,,0
2024-08-07 20:40:00,,0.0791,,0,,0,,0
2024-08-07 20:40:10,,0.140,,0,,0,,0
2024-08-07 20:40:20,,0.140,,0,,0,,0
2024-08-07 20:40:30,,0.140,,0,,0,,0
2024-08-07 20:40:40,,0.146,,0,,0,,0
2024-08-07 20:40:50,,0.146,,0,,0,,0
2024-08-07 20:41:00,,0.146,,0,,0,,0
2024-08-07 20:41:10,,0.129,,0,,0,,0
2024-08-07 20:41:20,,0.129,,0,,0,,0
2024-08-07 20:41:30,,0.129,,0,,0,,0
2024-08-07 20:41:40,,0.0990,,0,,0,,0
2024-08-07 20:41:50,,0.0990,,0,,0,,0
2024-08-07 20:42:00,,0.0990,,0,,0,,0
2024-08-07 20:42:10,,0.105,,0,,0,,0
2024-08-07 20:42:20,,0.105,,0,,0,,0
2024-08-07 20:42:30,,0.105,,0,,0,,0
2024-08-07 20:42:40,,2.22,,0,,0,,0
2024-08-07 20:42:50,,2.22,,0,,0,,0
2024-08-07 20:43:00,,2.22,,0,,0,,0
2024-08-07 20:43:10,,5.27,,0,,0,,0
2024-08-07 20:43:20,,5.27,,0,,0,,0
2024-08-07 20:43:30,,5.27,,0,,0,,0
2024-08-07 20:43:40,,5.50,,0,,0,,0
2024-08-07 20:43:50,,5.50,,0,,0,,0
2024-08-07 20:44:00,,5.50,,0,,0,,0
2024-08-07 20:44:10,,5.19,,0,,0,,0
2024-08-07 20:44:20,,5.19,,0,,0,,0
2024-08-07 20:44:30,,5.19,,0,,0,,0
2024-08-07 20:44:40,,5.94,,0,,0,,0
2024-08-07 20:44:50,,5.94,,0,,0,,0
2024-08-07 20:45:00,,5.94,,0,,0,,0
2024-08-07 20:45:10,,5.17,,0,,0,,0
2024-08-07 20:45:20,,5.17,,0,,0,,0
2024-08-07 20:45:30,,5.17,,0,,0,,0
2024-08-07 20:45:40,,5.38,,0,,0,,0
2024-08-07 20:45:50,,5.38,,0,,0,,0
2024-08-07 20:46:00,,5.38,,0,,0,,0
2024-08-07 20:46:10,,5.48,,0,,0,,0
2024-08-07 20:46:20,,5.48,,0,,0,,0
2024-08-07 20:46:30,,5.48,,0,,0,,0
2024-08-07 20:46:40,,5.45,,0,,0,,0
2024-08-07 20:46:50,,5.45,,0,,0,,0
2024-08-07 20:47:00,,5.45,,0,,0,,0
2024-08-07 20:47:10,,5.92,,0,,0,,0
2024-08-07 20:47:20,,5.92,,0,,0,,0
2024-08-07 20:47:30,,5.92,,0,,0,,0
2024-08-07 20:47:40,,5.65,,0,,0,,0
2024-08-07 20:47:50,,5.65,,0,,0,,0
2024-08-07 20:48:00,,5.65,,0,,0,,0
2024-08-07 20:48:10,,5.63,,0,,0,,0
2024-08-07 20:48:20,,5.63,,0,,0,,0
2024-08-07 20:48:30,,5.63,,0,,0,,0
2024-08-07 20:48:40,,5.29,,0,,0,,0
2024-08-07 20:48:50,,5.29,,0,,0,,0
2024-08-07 20:49:00,,5.29,,0,,0,,0
2024-08-07 20:49:10,,5.46,,0,,0,,0
2024-08-07 20:49:20,,5.46,,0,,0,,0
2024-08-07 20:49:30,,5.46,,0,,0,,0
2024-08-07 20:49:40,,5.56,,0,,0,,0
2024-08-07 20:49:50,,5.56,,0,,0,,0
2024-08-07 20:50:00,,5.56,,0,,0,,0
2024-08-07 20:50:10,,5.79,,0,,0,,0
